Time, HInput, VInput, Distance
16.54849, 0, 1, 0
16.56528, 0, 1, 0
16.58189, 0, 1, 0
16.59837, 0, 1, 0
16.61514, 0, 1, 0
16.63193, 0, 1, 0
16.64809, 0, 1, 0
16.66454, 0, 1, 0
16.68147, 0, 1, 0
16.6978, 0, 1, 0
16.7146, 0, 1, 0
16.7313, 0, 1, 0
16.74813, 0, 1, 0
16.76456, 0, 1, 0
16.78034, 0, 1, 0
16.79706, 0, 1, 0
16.81377, 0, 1, 0
16.83036, 0, 1, 0
16.84709, 0, 1, 0
16.86372, 0, 1, 0
16.88056, 0, 1, 0
16.89706, 0, 1, 0
16.91357, 0, 1, 0
16.9304, 0, 1, 0
16.94725, 0, 1, 0
16.96374, 0, 1, 0
16.98068, 0, 1, 0
16.99732, 0, 1, 0
17.0138, 0, 1, 0
17.03051, 0, 1, 0
17.04741, 0, 1, 0
17.06416, 0, 1, 0
17.0805, 0, 1, 0
17.09696, 0, 1, 0
17.11371, 0, 1, 0
17.13061, 0, 1, 0
17.14751, 0, 1, 0
17.16453, 0, 1, 0
17.1804, 0, 1, 0
17.1972, 0, 1, 0
17.21394, 0, 1, 0
17.23117, 0, 1, 0
17.24726, 0, 1, 0
17.26401, 0, 1, 0
17.28099, 0, 1, 0
17.29775, 0, 1, 0
17.31392, 0, 1, 0
17.33052, 0, 1, 0
17.34712, 0, 1, 0
17.36411, 0, 1, 0
17.38121, 0, 1, 0
17.39703, 0, 1, 0
17.41426, 0, 1, 0
17.43067, 0, 1, 0
17.44724, 0, 1, 0
17.46411, 0, 1, 0
17.48083, 0, 1, 0
17.49731, 0, 1, 0
17.51354, 0, 1, 0
17.53052, 0, 1, 0
17.54749, 0, 1, 0
17.56391, 0, 1, 0
17.58114, 0, 1, 0
17.59744, 0, 1, 0
17.61356, 0, 1, 0
17.63041, 0, 1, 0
17.64693, 0, 1, 0
17.66348, 0, 1, 0
17.68012, 0, 1, 0
17.69699, 0, 1, 0
17.71375, 0, 1, 0
17.73023, 0, 1, 0
17.74703, 0, 1, 0
17.76371, 0, 1, 0
17.78042, 0, 1, 0
17.7971, 0, 1, 0
17.81381, 0, 1, 0
17.83051, 0, 1, 0
17.84724, 0, 1, 0
17.86388, 0, 1, 0
17.88048, 0, 1, 0
17.89708, 0, 1, 0
17.91385, 0, 1, 0
17.93066, 0, 1, 0
17.94725, 0, 1, 0
17.96387, 0, 1, 0
17.98045, 0, 1, 0
17.99723, 0, 1, 0
18.01367, 0, 1, 0
18.03038, 0, 1, 0
18.04766, 0, 1, 0
18.0645, 0, 1, 0
18.08042, 0, 1, 0
18.09724, 0, 1, 0
18.11381, 0, 1, 0
18.13054, 0, 1, 0
18.1472, 0, 1, 0
